kommune;segment;år;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km
København;I alt;2022;446847;17111;169660;117233;56818;24628;18750;9365;33282
København;Mænd;2022;218975;10639;76305;55399;28910;12587;10027;5124;19984
København;Kvinder;2022;227872;6472;93355;61834;27908;12041;8723;4241;13298
Frederiksberg;I alt;2022;44634;2964;20401;9673;4890;2022;1313;794;2577
Frederiksberg;Mænd;2022;20716;1835;8718;4283;2362;1003;631;432;1452
Frederiksberg;Kvinder;2022;23918;1129;11683;5390;2528;1019;682;362;1125
Dragør;I alt;2022;3305;530;1102;640;504;193;66;56;214
Dragør;Mænd;2022;1692;340;471;273;264;125;44;39;136
Dragør;Kvinder;2022;1613;190;631;367;240;68;22;17;78
Tårnby;I alt;2022;25958;946;7067;5606;5581;2164;1128;900;2566
Tårnby;Mænd;2022;15371;650;3439;3067;3499;1465;787;618;1846
Tårnby;Kvinder;2022;10587;296;3628;2539;2082;699;341;282;720
Albertslund;I alt;2022;21632;587;3842;3741;6660;1899;1091;924;2888
Albertslund;Mænd;2022;14060;428;1863;2396;4331;1262;778;681;2321
Albertslund;Kvinder;2022;7572;159;1979;1345;2329;637;313;243;567
Ballerup;I alt;2022;49307;1029;6960;7332;19487;5967;1976;1527;5029
Ballerup;Mænd;2022;27996;714;3094;3891;11094;3418;1215;972;3598
Ballerup;Kvinder;2022;21311;315;3866;3441;8393;2549;761;555;1431
Brøndby;I alt;2022;27612;821;4341;6081;8056;2495;1372;1008;3438
Brøndby;Mænd;2022;17294;606;2105;3416;5239;1602;940;735;2651
Brøndby;Kvinder;2022;10318;215;2236;2665;2817;893;432;273;787
Gentofte;I alt;2022;44392;3458;10871;12392;9547;2925;1943;795;2461
Gentofte;Mænd;2022;21509;1984;4662;5743;4718;1461;960;427;1554
Gentofte;Kvinder;2022;22883;1474;6209;6649;4829;1464;983;368;907
Gladsaxe;I alt;2022;47765;1719;10036;12526;12354;3778;2242;1245;3865
Gladsaxe;Mænd;2022;26434;1154;4650;6650;6903;2201;1355;797;2724
Gladsaxe;Kvinder;2022;21331;565;5386;5876;5451;1577;887;448;1141
Glostrup;I alt;2022;20652;490;3529;5004;6019;1810;1076;681;2043
Glostrup;Mænd;2022;11016;362;1459;2496;3171;930;626;436;1536
Glostrup;Kvinder;2022;9636;128;2070;2508;2848;880;450;245;507
Herlev;I alt;2022;24377;637;4846;6367;6685;2133;943;670;2096
Herlev;Mænd;2022;11974;463;1977;2904;3274;1041;541;409;1365
Herlev;Kvinder;2022;12403;174;2869;3463;3411;1092;402;261;731
Hvidovre;I alt;2022;31512;1230;6891;6586;8644;2226;1360;939;3636
Hvidovre;Mænd;2022;17917;892;2694;3315;5271;1347;904;664;2830
Hvidovre;Kvinder;2022;13595;338;4197;3271;3373;879;456;275;806
Høje-Taastrup;I alt;2022;40391;1317;5790;4386;11428;8058;2507;1993;4912
Høje-Taastrup;Mænd;2022;23006;940;2548;2202;6301;4832;1575;1278;3330
Høje-Taastrup;Kvinder;2022;17385;377;3242;2184;5127;3226;932;715;1582
Ishøj;I alt;2022;10015;569;2516;1561;2498;1265;293;439;874
Ishøj;Mænd;2022;6095;416;1107;896;1574;871;198;320;713
Ishøj;Kvinder;2022;3920;153;1409;665;924;394;95;119;161
Lyngby-Taarbæk;I alt;2022;38085;1777;8007;6917;13095;3435;1829;676;2349
Lyngby-Taarbæk;Mænd;2022;20418;1069;3820;3492;7131;1922;1041;387;1556
Lyngby-Taarbæk;Kvinder;2022;17667;708;4187;3425;5964;1513;788;289;793
Rødovre;I alt;2022;17931;950;5504;4760;3156;1076;602;401;1482
Rødovre;Mænd;2022;10141;679;2442;2541;1996;685;398;287;1113
Rødovre;Kvinder;2022;7790;271;3062;2219;1160;391;204;114;369
Vallensbæk;I alt;2022;5784;408;1405;1043;1555;487;210;171;505
Vallensbæk;Mænd;2022;2853;287;488;443;817;250;115;99;354
Vallensbæk;Kvinder;2022;2931;121;917;600;738;237;95;72;151
Allerød;I alt;2022;15173;806;2440;1533;3549;3927;1584;206;1128
Allerød;Mænd;2022;8580;518;1078;760;1911;2289;1001;140;883
Allerød;Kvinder;2022;6593;288;1362;773;1638;1638;583;66;245
Egedal;I alt;2022;12739;1506;3232;1529;2957;2213;610;247;445
Egedal;Mænd;2022;6609;1020;1355;663;1430;1282;368;166;325
Egedal;Kvinder;2022;6130;486;1877;866;1527;931;242;81;120
Fredensborg;I alt;2022;14038;1695;3096;2116;2924;1604;1738;344;521
Fredensborg;Mænd;2022;6590;1047;1286;894;1209;750;889;187;328
Fredensborg;Kvinder;2022;7448;648;1810;1222;1715;854;849;157;193
Frederikssund;I alt;2022;16737;1717;4354;2428;3062;1887;1707;876;706
Frederikssund;Mænd;2022;8819;1206;1906;1064;1394;1002;1070;612;565
Frederikssund;Kvinder;2022;7918;511;2448;1364;1668;885;637;264;141
Furesø;I alt;2022;15032;1284;3764;2085;3975;2201;678;222;823
Furesø;Mænd;2022;7803;829;1588;870;2103;1285;386;146;596
Furesø;Kvinder;2022;7229;455;2176;1215;1872;916;292;76;227
Gribskov;I alt;2022;13365;2245;3149;2129;2465;1310;508;573;986
Gribskov;Mænd;2022;7036;1499;1491;908;1142;684;287;347;678
Gribskov;Kvinder;2022;6329;746;1658;1221;1323;626;221;226;308
