år;Hele landet;Region Hovedstaden;Region Sjælland;Region Syddanmark;Region Midtjylland;Region Nordjylland
2008;19.1;20.0;19.2;18.3;18.6;19.0
2009;19.5;20.0;19.7;18.9;19.1;19.3
2010;19.6;19.7;19.9;19.2;19.3;20.0
2011;19.7;19.8;20.1;19.2;19.5;19.9
2012;20.0;19.9;20.5;19.9;19.8;20.4
2013;19.8;19.5;20.7;19.9;19.8;19.9
2014;20.4;19.9;20.9;20.7;20.3;20.6
2015;20.9;20.4;21.5;21.4;20.9;21.3
2016;21.5;20.8;22.2;22.0;21.3;22.3
2017;21.8;21.0;22.8;22.1;21.8;22.8
2018;21.7;21.0;22.6;21.9;21.8;22.5
2019;22.0;21.1;23.0;22.4;22.4;22.3
2020;22.1;21.0;23.4;22.6;22.3;22.5
2021;22.2;21.2;23.4;23.0;22.5;22.4
2022;22.2;21.4;23.4;22.9;22.4;22.0
