kommune;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km;Ikke beregnet
København;384189;17110;164315;111892;52590;13452;9012;2517;12797;504
Frederiksberg;59174;2965;28074;15337;7505;1733;1186;282;2032;60
Dragør;7351;530;1206;1157;2879;928;280;138;226;7
Tårnby;22336;946;6616;6973;4708;1814;436;238;589;16
Albertslund;13662;587;3928;2606;5143;696;206;147;337;12
Ballerup;25055;1029;6401;4691;9675;2101;382;171;592;13
Brøndby;18146;821;4028;4784;6591;956;337;145;472;12
Gentofte;38613;3458;9519;12969;8848;1644;694;215;1238;28
Gladsaxe;37258;1719;10290;11274;10329;1927;645;203;851;20
Glostrup;12511;490;3356;2948;4480;538;263;82;348;6
Herlev;14930;637;4778;3264;4912;691;238;84;319;7
Hvidovre;27538;1230;6867;8787;8015;1057;514;241;806;21
Høje-Taastrup;28921;1317;5851;4667;8545;6215;925;438;941;22
Ishøj;11781;569;2531;2368;4094;1441;195;216;359;8
Lyngby-Taarbæk;30384;1777;7583;5016;12158;2366;565;212;689;18
Rødovre;22278;950;5545;9237;4619;815;422;111;562;17
Vallensbæk;8784;408;1695;1693;3872;615;144;108;242;7
Allerød;13742;806;2391;1527;3646;3754;1257;48;296;17
Egedal;24703;1506;3255;2226;7149;7806;1924;292;523;22
Fredensborg;21206;1695;3253;2667;4218;3362;4534;892;562;23
Frederikssund;23738;1717;4356;2343;3402;4182;4344;2349;1025;20
Furesø;21513;1284;3857;3004;7955;4346;460;110;482;15
Gribskov;20949;2245;3155;2178;3774;3013;1653;2036;2873;22
Halsnæs;15422;1123;3436;1366;2424;1993;1563;1430;2061;26
Helsingør;31819;2408;8626;3832;3381;3481;3472;4626;1952;41
Hillerød;29552;1888;7302;3510;4704;4828;5070;1521;699;30
Hørsholm;12163;1087;2626;723;2335;4049;887;135;312;9
Rudersdal;28998;2481;4251;3929;10320;6269;749;197;781;21
Bornholm;17836;1617;6436;2382;3307;2292;481;3;1178;140
Christiansø;46;11;24;0;0;0;3;0;8;0
Greve;26661;1538;4387;3006;7275;7896;1153;481;904;21
Køge;32828;1953;6719;3727;3867;4704;4974;4764;2087;33
Lejre;15126;1435;1428;1172;3021;1936;1948;2701;1470;15
Roskilde;48388;2823;11746;3694;7502;8960;9918;1795;1904;46
Solrød;12895;825;1828;1351;2575;2397;3043;326;539;11
Faxe;19348;1671;2936;1799;2535;2821;1302;1592;4669;23
Guldborgsund;28059;1988;7233;3158;5179;2954;1483;1034;4967;63
Holbæk;37831;2749;8462;3208;5073;3928;3483;2916;7966;46
Kalundborg;23321;1642;5756;3619;4035;2268;1161;911;3896;33
Lolland;16873;1229;4873;1564;3029;1902;1023;367;2847;39
Næstved;43053;2713;11337;4776;5724;4086;2873;1843;9639;62
Odsherred;15011;1526;2567;2017;2549;1709;754;456;3416;17
Ringsted;19411;1232;4978;1342;1705;2209;2047;1416;4460;22
Slagelse;39653;2268;11404;3465;7287;2486;2914;1528;8227;74
Sorø;15569;1215;2587;1272;2962;1763;1186;989;3577;18
Stevns;12103;1227;1343;1323;1977;1426;1044;1515;2224;24
Vordingborg;21407;1955;4352;1939;3162;2222;1583;831;5312;51
Assens;20356;1576;3632;2116;4800;3585;1809;793;1995;50
Faaborg-Midtfyn;25569;2111;4238;2888;6080;5229;2002;590;2362;69
Kerteminde;11669;969;2048;1673;3934;1381;260;173;1212;19
Langeland;5307;581;1585;601;710;613;195;154;837;31
Middelfart;20732;1485;5042;2528;3413;2201;2085;1339;2605;34
Nordfyns;14904;1385;2365;1461;4298;2478;955;472;1464;26
Nyborg;15324;968;4061;1455;2533;2647;1374;370;1882;34
Odense;105444;4176;41978;24629;11224;4467;2360;3140;13275;195
Svendborg;28193;2039;9001;4098;3448;1703;1677;2859;2876;492
Æræ;2587;358;958;296;513;75;28;7;248;104
Billund;14337;948;4798;1339;2686;1101;1135;869;1442;19
Esbjerg;59353;2959;20147;14807;7422;4147;2561;1429;5605;276
Fanø;1524;167;678;310;113;38;14;7;162;35
Fredericia;26111;1103;8822;4407;3829;3043;568;752;3490;97
Haderslev;27382;1829;6682;3448;4684;3381;2574;1315;3369;100
Kolding;50142;2808;16064;7631;7387;6004;2394;1190;6571;93
Sønderborg;35370;1764;11441;5631;7465;3933;1626;508;2937;65
Tønder;17800;1782;4827;1709;3299;2082;1267;860;1955;19
Varde;26352;2240;6013;2419;5937;4700;1763;931;2254;95
Vejen;22841;1842;5212;2583;3843;3071;2232;1771;2261;26
Vejle;64116;3868;16358;8180;10884;9849;4651;2036;8197;93
Aabenraa;28376;1955;6916;4516;5008;4139;2147;842;2815;38
Favrskov;26468;1884;4331;2429;6406;6552;1903;699;2230;34
Hedensted;26126;2014;5061;3168;7733;2737;1383;1081;2914;35
