kommune,segment,I alt,5-10 km,20-30 km,30-40 km,40-50 km,Over 50 km
København,Kvinder,227872,61834,12041,8723,4241,13298
Frederiksberg,Kvinder,23918,5390,1019,682,362,1125
Dragør,Kvinder,1613,367,68,22,17,78
Tårnby,Kvinder,10587,2539,699,341,282,720
Albertslund,Kvinder,7572,1345,637,313,243,567
Ballerup,Kvinder,21311,3441,2549,761,555,1431
Brøndby,Kvinder,10318,2665,893,432,273,787
Gentofte,Kvinder,22883,6649,1464,983,368,907
Gladsaxe,Kvinder,21331,5876,1577,887,448,1141
Glostrup,Kvinder,9636,2508,880,450,245,507
Herlev,Kvinder,12403,3463,1092,402,261,731
Hvidovre,Kvinder,13595,3271,879,456,275,806
Høje-Taastrup,Kvinder,17385,2184,3226,932,715,1582
Ishøj,Kvinder,3920,665,394,95,119,161
Lyngby-Taarbæk,Kvinder,17667,3425,1513,788,289,793
Rødovre,Kvinder,7790,2219,391,204,114,369
Vallensbæk,Kvinder,2931,600,237,95,72,151
Allerød,Kvinder,6593,773,1638,583,66,245
Egedal,Kvinder,6130,866,931,242,81,120
Fredensborg,Kvinder,7448,1222,854,849,157,193
Frederikssund,Kvinder,7918,1364,885,637,264,141
Furesø,Kvinder,7229,1215,916,292,76,227
Gribskov,Kvinder,6329,1221,626,221,226,308
Halsnæs,Kvinder,4809,705,397,186,159,247
Helsingør,Kvinder,12001,1975,857,636,764,518
Hillerød,Kvinder,18282,2013,4107,2354,384,415
Hørsholm,Kvinder,5333,587,957,312,74,183
Rudersdal,Kvinder,13587,2140,2588,707,272,612
Bornholm,Kvinder,8303,1180,1103,249,1,289
Christiansø,Kvinder,18,0,0,2,0,0
Greve,Kvinder,8456,1541,1201,359,253,446
Køge,Kvinder,15155,2410,2341,1475,1057,973
Lejre,Kvinder,4304,606,581,302,279,227
Roskilde,Kvinder,23522,2207,3658,2982,869,1544
Solrød,Kvinder,3447,496,360,305,80,198
Faxe,Kvinder,6598,971,1120,365,231,549
Guldborgsund,Kvinder,12080,1621,1330,615,329,1112
Holbæk,Kvinder,15820,1801,2041,1128,720,1319
Kalundborg,Kvinder,9949,1649,1003,793,442,853
Lolland,Kvinder,7884,829,1104,563,316,547
Næstved,Kvinder,16943,2576,1494,985,478,1412
Odsherred,Kvinder,5928,1111,724,362,133,463
Ringsted,Kvinder,8087,670,1256,892,366,758
Slagelse,Kvinder,18313,1804,1432,1227,548,1812
Sorø,Kvinder,6208,676,850,618,242,484
Stevns,Kvinder,3146,587,287,121,122,192
Vordingborg,Kvinder,8792,1081,1136,784,314,793
Assens,Kvinder,7381,1028,1232,514,209,236
Faaborg-Midtfyn,Kvinder,9147,1342,1870,602,154,244
Kerteminde,Kvinder,4393,875,500,150,79,130
Langeland,Kvinder,2268,336,285,67,58,159
Middelfart,Kvinder,9216,1362,882,769,717,707
Nordfyns,Kvinder,4722,744,544,183,67,152
Nyborg,Kvinder,5849,611,799,506,134,209
Odense,Kvinder,56941,12630,4446,2028,1709,3475
Svendborg,Kvinder,12771,2180,946,704,904,420
Ærø,Kvinder,1227,185,54,29,4,48
Billund,Kvinder,9757,799,1363,1218,627,1441
Esbjerg,Kvinder,29317,7344,2595,1341,780,2025
Fanø,Kvinder,670,93,20,13,2,38
Fredericia,Kvinder,12472,2066,1322,502,511,1383
Haderslev,Kvinder,11250,1617,1346,694,316,819
Kolding,Kvinder,26316,3767,3807,1609,725,2679
Sønderborg,Kvinder,15968,2785,1725,544,173,725
Tønder,Kvinder,8067,885,1029,599,363,611
Varde,Kvinder,10255,1127,1733,591,264,498
Vejen,Kvinder,9060,1259,1133,758,569,600
Vejle,Kvinder,28773,4064,4074,1555,740,2644
Aabenraa,Kvinder,14589,2321,2483,1506,610,1139
Favrskov,Kvinder,9624,1010,2016,663,312,522
Hedensted,Kvinder,9631,1201,1206,403,286,698
Horsens,Kvinder,23065,3646,2261,1285,1372,1151
Norddjurs,Kvinder,7492,900,749,498,253,565
Odder,Kvinder,4130,688,525,133,45,154
Randers,Kvinder,21950,3713,1740,1806,740,1046
Samsø,Kvinder,800,121,4,8,6,86
Silkeborg,Kvinder,21102,3554,1806,1257,1452,1110
Skanderborg,Kvinder,13623,1649,2437,990,322,733
Syddjurs,Kvinder,7567,889,1112,811,259,333
Aarhus,Kvinder,106980,22035,8026,5237,4548,7567
Herning,Kvinder,24971,3312,2238,2805,1527,2469
Holstebro,Kvinder,13680,1722,1227,1075,422,832
Ikast-Brande,Kvinder,11136,806,1994,875,674,1400
Lemvig,Kvinder,4165,546,553,263,81,227
Ringkøbing-Skjern,Kvinder,13888,1356,2118,860,860,952
Skive,Kvinder,9573,1534,892,567,211,520
Struer,Kvinder,3979,444,405,238,104,181
Viborg,Kvinder,24668,2963,3245,1827,1154,2254
Brønderslev,Kvinder,6762,798,1395,703,193,150
Frederikshavn,Kvinder,12329,1284,892,703,502,927
Hjørring,Kvinder,15591,1400,1459,1030,860,1072
Jammerbugt,Kvinder,7094,1024,924,678,266,341
Læsø,Kvinder,367,68,0,5,5,22
Mariagerfjord,Kvinder,9763,1074,1411,763,639,698
Morsø,Kvinder,4388,630,395,341,57,173
Rebild,Kvinder,5597,705,1215,324,194,258
Thisted,Kvinder,10239,1487,1297,677,213,649
Vesthimmerlands,Kvinder,8088,1172,1113,452,612,516
Aalborg,Kvinder,57088,10056,5959,2804,1666,3652
