år;Hele landet;Region Hovedstaden;Region Sjælland;Region Syddanmark;Region Midtjylland;Region Nordjylland
2008;22.7;23.9;22.9;21.8;21.8;22.4
2009;23.2;24.0;23.6;22.5;22.5;23.1
2010;23.2;23.6;23.9;22.8;22.7;23.7
2011;23.3;23.8;23.8;22.6;22.8;23.6
2012;23.6;23.8;24.0;23.5;23.2;23.9
2013;23.2;23.1;24.2;23.1;23.0;23.0
2014;23.9;23.4;24.5;24.3;23.7;24.3
2015;24.4;23.9;25.0;25.1;24.3;24.9
2016;25.1;24.3;25.6;25.7;24.8;26.3
2017;25.4;24.6;26.4;25.7;25.3;26.9
2018;25.3;24.7;26.1;25.5;25.4;26.2
2019;25.6;24.7;26.7;26.2;25.9;25.9
2020;25.7;24.7;27.1;26.3;25.8;25.9
2021;25.9;24.9;27.2;26.8;25.9;25.9
2022;26.0;25.2;27.1;26.8;26.0;25.7
