kommune,segment,I alt,5-10 km,20-30 km,30-40 km,40-50 km,Over 50 km
København,Mænd,218975,55399,12587,10027,5124,19984
Frederiksberg,Mænd,20716,4283,1003,631,432,1452
Dragør,Mænd,1692,273,125,44,39,136
Tårnby,Mænd,15371,3067,1465,787,618,1846
Albertslund,Mænd,14060,2396,1262,778,681,2321
Ballerup,Mænd,27996,3891,3418,1215,972,3598
Brøndby,Mænd,17294,3416,1602,940,735,2651
Gentofte,Mænd,21509,5743,1461,960,427,1554
Gladsaxe,Mænd,26434,6650,2201,1355,797,2724
Glostrup,Mænd,11016,2496,930,626,436,1536
Herlev,Mænd,11974,2904,1041,541,409,1365
Hvidovre,Mænd,17917,3315,1347,904,664,2830
Høje-Taastrup,Mænd,23006,2202,4832,1575,1278,3330
Ishøj,Mænd,6095,896,871,198,320,713
Lyngby-Taarbæk,Mænd,20418,3492,1922,1041,387,1556
Rødovre,Mænd,10141,2541,685,398,287,1113
Vallensbæk,Mænd,2853,443,250,115,99,354
Allerød,Mænd,8580,760,2289,1001,140,883
Egedal,Mænd,6609,663,1282,368,166,325
Fredensborg,Mænd,6590,894,750,889,187,328
Frederikssund,Mænd,8819,1064,1002,1070,612,565
Furesø,Mænd,7803,870,1285,386,146,596
Gribskov,Mænd,7036,908,684,287,347,678
Halsnæs,Mænd,5015,630,366,222,212,436
Helsingør,Mænd,11971,1904,866,774,943,793
Hillerød,Mænd,16989,1541,3663,2660,648,899
Hørsholm,Mænd,4918,431,1039,418,86,317
Rudersdal,Mænd,14581,1607,3113,923,357,1192
Bornholm,Mænd,9126,1202,1189,233,2,621
Christiansø,Mænd,20,0,0,0,0,1
Greve,Mænd,11396,1335,2114,734,583,1661
Køge,Mænd,17031,1904,2687,2139,1595,1953
Lejre,Mænd,4438,445,460,400,386,350
Roskilde,Mænd,22662,1841,3788,3289,1103,2478
Solrød,Mænd,3416,288,400,442,115,328
Faxe,Mænd,7483,846,1069,420,340,1237
Guldborgsund,Mænd,12160,1479,1277,588,335,1338
Holbæk,Mænd,14553,1433,1623,1022,790,1794
Kalundborg,Mænd,11705,1898,1082,1027,649,1558
Lolland,Mænd,8627,781,1051,595,404,1001
Næstved,Mænd,16111,2157,1408,905,528,1934
Odsherred,Mænd,6067,875,622,282,149,798
Ringsted,Mænd,10336,727,1517,1264,712,1750
Slagelse,Mænd,18092,1665,1239,1046,585,3288
Sorø,Mænd,6423,543,757,680,290,916
Stevns,Mænd,3361,500,202,143,171,375
Vordingborg,Mænd,8579,846,883,723,295,1229
Assens,Mænd,8478,1024,1244,600,320,500
Faaborg-Midtfyn,Mænd,10287,1249,1835,706,234,623
Kerteminde,Mænd,5900,849,692,267,188,506
Langeland,Mænd,2315,270,231,67,58,200
Middelfart,Mænd,10247,1095,1029,892,938,1334
Nordfyns,Mænd,5504,748,564,254,102,310
Nyborg,Mænd,5769,640,745,536,161,353
Odense,Mænd,58575,12462,5051,2535,2024,6045
Svendborg,Mænd,11855,1921,796,567,898,702
Ærø,Mænd,1191,111,56,32,16,52
Billund,Mænd,11221,726,1402,1248,791,2298
Esbjerg,Mænd,34067,7594,2620,1388,828,5355
Fanø,Mænd,500,47,11,6,5,24
Fredericia,Mænd,17977,2419,2014,843,1164,4102
Haderslev,Mænd,12518,1741,1371,829,465,1656
Kolding,Mænd,30668,4006,4151,2063,1139,5802
Sønderborg,Mænd,17888,2878,2096,624,233,1290
Tønder,Mænd,8551,847,889,458,314,705
Varde,Mænd,12423,1286,1692,658,345,1225
Vejen,Mænd,12061,1340,1323,1072,843,1563
Vejle,Mænd,31133,4134,3982,1872,1007,5269
Aabenraa,Mænd,15819,2168,2397,1384,585,2002
Favrskov,Mænd,11286,1094,1976,941,438,1219
Hedensted,Mænd,13389,1437,1385,637,470,1689
Horsens,Mænd,25592,4155,2320,1570,1782,2868
Norddjurs,Mænd,8261,826,696,428,253,897
Odder,Mænd,4129,563,550,149,86,268
Randers,Mænd,21568,3472,1667,1955,957,1941
Samsø,Mænd,934,145,10,10,9,126
Silkeborg,Mænd,23202,3189,1885,1727,2076,2395
Skanderborg,Mænd,16242,1607,2929,1303,628,1826
Syddjurs,Mænd,7595,706,994,683,278,569
Aarhus,Mænd,118072,20664,9084,7337,6782,16063
Herning,Mænd,27587,3722,2384,2229,1562,4009
Holstebro,Mænd,16035,1982,1398,1166,549,1742
Ikast-Brande,Mænd,13373,909,1863,987,1035,2591
Lemvig,Mænd,4990,678,579,272,95,420
Ringkøbing-Skjern,Mænd,17402,1581,2192,1034,1235,2098
Skive,Mænd,12575,1819,1156,855,408,1669
Struer,Mænd,4417,435,365,241,115,451
Viborg,Mænd,27387,2948,3254,1858,1549,4073
Brønderslev,Mænd,6935,722,1298,656,188,288
Frederikshavn,Mænd,15118,1355,984,982,750,2264
Hjørring,Mænd,15688,1546,1234,983,847,1312
Jammerbugt,Mænd,7457,903,813,607,297,646
Læsø,Mænd,416,51,1,9,13,47
Mariagerfjord,Mænd,11979,1166,1507,957,842,1540
Morsø,Mænd,5391,854,532,388,85,405
Rebild,Mænd,7040,652,1321,496,323,732
Thisted,Mænd,11964,1617,1252,785,279,1048
Vesthimmerlands,Mænd,10021,1236,1118,555,887,1075
Aalborg,Mænd,64191,11556,6777,3608,2238,7316
