kommune;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km;Ikke beregnet
København;192335;10639;74103;54617;30581;8135;4913;1464;7477;406
Frederiksberg;29049;1835;12328;7612;4253;991;661;152;1165;52
Dragør;3746;340;533;553;1364;539;170;84;157;6
Tårnby;11389;650;3006;3151;2539;1153;295;166;417;12
Albertslund;7105;428;1781;1266;2716;428;144;98;234;10
Ballerup;13006;714;2780;2272;5220;1263;234;100;411;12
Brøndby;9540;606;1723;2429;3519;616;222;101;315;9
Gentofte;19256;1984;4099;6246;4698;891;393;123;800;22
Gladsaxe;19330;1154;4489;5546;5847;1191;384;121;580;18
Glostrup;6616;362;1588;1426;2463;335;159;50;227;6
Herlev;7689;463;2136;1541;2679;443;154;65;202;6
Hvidovre;14216;892;2798;4365;4482;632;318;151;563;15
Høje-Taastrup;15516;940;2585;2443;4591;3455;591;266;629;16
Ishøj;6235;416;1041;1226;2217;820;108;141;259;7
Lyngby-Taarbæk;15611;1069;3616;2236;6366;1377;334;127;472;14
Rødovre;11367;679;2361;4557;2549;507;267;67;368;12
Vallensbæk;4581;287;740;827;2022;382;91;64;161;7
Allerød;7001;518;1044;706;1732;1997;765;35;188;16
Egedal;12773;1020;1319;1005;3534;4175;1134;188;380;18
Fredensborg;10798;1047;1341;1142;1871;1766;2594;620;399;18
Frederikssund;12384;1206;1905;1040;1505;2068;2443;1464;733;20
Furesø;10898;829;1658;1325;3973;2423;285;67;324;14
Gribskov;11032;1499;1494;924;1695;1407;903;1192;1900;18
Halsnæs;8114;751;1628;643;1133;943;802;847;1344;23
Helsingør;16241;1543;3767;1832;1432;1672;1882;2701;1373;39
Hillerød;15081;1246;3146;1579;2168;2491;2919;1010;496;26
Hørsholm;6050;635;1070;317;1082;2085;540;92;220;9
Rudersdal;14840;1500;1942;1761;5184;3332;473;114;515;19
Bornholm;9429;1110;3066;1202;1703;1189;230;2;810;117
Christiansø;26;6;13;0;0;0;3;0;4;0
Greve;13753;1028;1871;1354;3759;4138;689;292;602;20
Køge;17303;1373;2989;1637;1849;2440;2929;2717;1341;28
Lejre;7955;982;624;476;1236;1004;1169;1558;892;14
Roskilde;24711;1885;4784;1713;3689;4845;5477;1052;1222;44
Solrød;6638;541;770;589;1222;1302;1633;209;361;11
Faxe;10605;1163;1355;831;1144;1333;715;941;3101;22
Guldborgsund;15052;1445;3312;1489;2440;1459;789;570;3490;58
Holbæk;19816;1886;3585;1413;2224;1844;1815;1855;5153;41
Kalundborg;12526;1187;2688;1922;1932;1057;568;430;2716;26
Lolland;9188;913;2376;776;1417;904;514;202;2054;32
Næstved;22704;1884;4974;2173;2627;2080;1394;1082;6438;52
Odsherred;8152;1070;1218;906;1145;802;385;259;2353;14
Ringsted;10462;852;2395;681;780;1014;1052;904;2764;20
Slagelse;21022;1613;4976;1648;3431;1205;1587;917;5581;64
Sorø;8302;868;1094;589;1256;858;587;583;2452;15
Stevns;6508;858;592;599;872;678;578;895;1413;23
Vordingborg;11480;1326;2025;859;1369;1032;747;405;3671;46
Assens;11008;1117;1824;1065;2266;1857;1013;461;1359;46
Faaborg-Midtfyn;13756;1464;2100;1467;3002;2547;1041;351;1716;68
Kerteminde;6148;623;1046;801;1946;661;146;91;815;19
Langeland;2906;415;766;273;320;308;105;87;603;29
Middelfart;11032;1010;2421;1193;1691;1094;1085;727;1780;31
Nordfyns;8107;987;1159;719;1983;1369;543;288;1034;25
Nyborg;8090;653;1845;759;1236;1422;646;188;1309;32
Odense;54320;2754;18930;12170;6305;2402;1264;1740;8580;175
Svendborg;14816;1354;3975;1903;1619;851;1010;1585;2073;446
Æræ;1379;224;467;111;232;45;20;5;178;97
Billund;7867;663;2452;651;1386;614;650;481;952;18
Esbjerg;31506;2057;9917;7528;3751;2088;1302;789;3813;261
Fanø;780;92;307;148;66;21;8;4;100;34
Fredericia;13949;746;4299;2313;1910;1473;352;447;2319;90
Haderslev;14726;1287;3087;1786;2264;1637;1394;830;2345;96
Kolding;26489;1902;7438;3917;3688;3170;1337;705;4244;88
Sønderborg;18946;1231;5477;2863;4049;2172;796;261;2033;64
Tønder;9684;1276;2479;836;1620;998;628;460;1368;19
Varde;14454;1543;3052;1295;3097;2294;949;546;1590;88
Vejen;12690;1316;2791;1323;1950;1573;1187;956;1571;23
Vejle;34057;2620;7416;4100;5440;5285;2528;1176;5407;85
Aabenraa;15260;1388;3424;2177;2438;2158;1137;466;2037;35
Favrskov;14127;1355;1962;1209;3056;3482;1101;429;1501;32
Hedensted;14345;1443;2688;1758;3693;1339;766;631;1992;35
Horsens;27061;1667;7773;3908;3521;2640;1627;2604;3272;49
Norddjurs;9902;1047;2773;838;1415;977;550;533;1723;46
Odder;6272;596;1284;547;932;1708;434;112;646;13
Randers;27001;1811;6931;3468;3012;2109;3709;2363;3533;65
Samsø;946;176;386;145;71;7;4;2;149;6
Silkeborg;27667;2228;6425;3266;3383;2081;3255;3645;3327;57
Skanderborg;17949;1491;3055;1693;3898;3887;1303;448;2145;29
Syddjurs;11699;1434;1678;701;1492;1995;1872;892;1600;35
Aarhus;99378;5373;35905;20536;14823;3961;2799;3111;12698;172
Herning;25968;2031;7664;3702;3938;2508;1406;1197;3468;54
Holstebro;16360;1262;5509;1855;1852;1320;1535;945;2001;81
Ikast-Brande;12102;1025;2886;1026;2319;1737;682;558;1846;23
Lemvig;5447;583;1580;682;799;606;299;114;743;41
Ringkøbing-Skjern;16425;1642;4825;1593;2844;2094;986;733;1654;54
Skive;12539;1152;3361;1726;2114;1285;826;408;1629;38
Struer;5477;512;1525;532;1127;418;277;233;833;20
Viborg;27160;2488;7380;2860;3904;2965;1781;1421;4288;73
Brønderslev;9879;945;1743;728;1239;2271;1601;443;859;50
Frederikshavn;14980;1151;5656;1351;1879;844;935;654;2320;190
Hjørring;16884;1743;4866;1540;3150;1180;907;937;2366;195
Jammerbugt;10077;1199;1819;914;1511;1473;1262;538;1319;42
Læsø;417;99;156;51;40;0;7;10;49;5
Mariagerfjord;11604;1237;2866;1142;1642;1152;932;798;1795;40
Morsø;5369;641;1487;900;939;488;385;85;429;15
Rebild;8825;901;1265;728;1660;2180;590;246;1227;28
Thisted;11980;1408;3691;1608;1854;1287;702;193;1185;52
Vesthimmerlands;10075;1111;2347;1240;1612;1053;606;689;1396;21
Aalborg;61147;3387;20013;11500;8788;4637;2055;2136;8242;389
